Id,Tipo,Especialidad, Puntuacion 
1512,Otro,Ayurveda, 10.0 
1513,Medico,Dermatologists, 8.0 
1514,Especialista,General Medicine, 10.0 
1515,Clinica,General Medicine, 9.8 
1516,Hospital,General Medicine, 9.8 
1517,ONG,Dermatologists, 8.0 
1518,Otro,General Medicine, 8.0 
1519,Medico,General Medicine, 9.9 
1520,Especialista,Ayurveda, 9.6 
1521,Clinica,Homeopath, 8.0 
1522,Hospital,Ayurveda, 8.0 
1523,ONG,Ayurveda, 8.0 
1524,Otro,Homeopath, 8.0 
1525,Medico,General Medicine, 8.0 
1526,Especialista,Dentist, 8.0 
1527,Clinica,Dentist, 8.0 
1528,Hospital,ENT Specialist, 9.8 
1529,ONG,Dermatologists, 8.0 
1530,Otro,Homeopath, 9.8 
1531,Medico,Ayurveda, 10.0 
1532,Especialista,General Medicine, 10.0 
1533,Clinica,Ayurveda, 10.0 
1534,Hospital,Dermatologists, 8.0 
1535,ONG,ENT Specialist, 9.8 
1536,Otro,ENT Specialist, 8.0 
1537,Medico,Dentist, 8.0 
1538,Especialista,Homeopath, 10.0 
1539,Clinica,Ayurveda, 8.0 
1540,Hospital,Dentist, 9.3 
1541,ONG,Dentist, 9.8 
1542,Otro,Dermatologists, 8.0 
1543,Medico,Homeopath, 10.0 
1544,Especialista,General Medicine, 8.0 
1545,Clinica,Homeopath, 8.0 
1546,Hospital,Dermatologists, 10.0 
1547,ONG,General Medicine, 9.7 
1548,Otro,Ayurveda, 9.0 
1549,Medico,Dentist, 8.0 
1550,Especialista,Dentist, 10.0 
1551,Clinica,Dermatologists, 8.0 
1552,Hospital,Dermatologists, 9.6 
1553,ONG,ENT Specialist, 8.0 
1554,Otro,Dermatologists, 8.0 
1555,Medico,Homeopath, 8.0 
1556,Especialista,General Medicine, 8.0 
1557,Clinica,Dermatologists, 8.0 
1558,Hospital,General Medicine, 8.0 
1559,ONG,Dentist, 8.0 
1560,Otro,Dermatologists, 8.0 
1561,Medico,Dermatologists, 8.0 
1562,Especialista,Dermatologists, 10.0 
1563,Clinica,Dentist, 9.8 
1564,Hospital,Homeopath, 8.0 
1565,ONG,Dermatologists, 9.4 
1566,Otro,ENT Specialist, 8.0 
1567,Medico,Ayurveda, 10.0 
1568,Especialista,Dermatologists, 8.0 
1569,Clinica,General Medicine, 9.5 
1570,Hospital,Homeopath, 8.0 
1571,ONG,Homeopath, 8.0 
1572,Otro,Ayurveda, 8.0 
1573,Medico,Dentist, 8.0 
1574,Especialista,General Medicine, 9.5 
1575,Clinica,Dentist, 9.7 
1576,Hospital,Dentist, 8.0 
1577,ONG,ENT Specialist, 9.6 
1578,Otro,Ayurveda, 8.0 
1579,Medico,Homeopath, 8.0 
1580,Especialista,Ayurveda, 9.8 
1581,Clinica,Dentist, 8.0 
1582,Hospital,General Medicine, 10.0 
1583,ONG,Dermatologists, 8.0 
1584,Otro,General Medicine, 8.0 
1585,Medico,Dentist, 8.0 
1586,Especialista,General Medicine, 8.0 
1587,Clinica,Dermatologists, 9.3 
1588,Hospital,Dermatologists, 8.0 
1589,ONG,Ayurveda, 8.0 
1590,Otro,General Medicine, 8.0 
1591,Medico,Homeopath, 8.0 
1592,Especialista,Dermatologists, 8.0 
1593,Clinica,Homeopath, 7.9 
1594,Hospital,Dermatologists, 9.9 
1595,ONG,Dentist, 0.7 
1596,Otro,Homeopath, 9.9 
1597,Medico,Dentist, 8.0 
1598,Especialista,Dentist, 10.0 
1599,Clinica,Dermatologists, 8.0 
1600,Hospital,General Medicine, 9.6 
1601,ONG,General Medicine, 8.0 
1602,Otro,Dentist, 8.0 
1603,Medico,Homeopath, 9.7 
1604,Especialista,Homeopath, 8.0 
1605,Clinica,ENT Specialist, 8.0 
1606,Hospital,Homeopath, 8.0 
1607,ONG,Dentist, 8.0 
1608,Otro,General Medicine, 8.0 
1609,Medico,Ayurveda, 8.0 
1610,Especialista,Homeopath, 8.0 
1611,Clinica,Dermatologists, 8.0 
1612,Hospital,Dermatologists, 8.0 
1613,ONG,Homeopath, 9.6 
1614,Otro,General Medicine, 9.0 
1615,Medico,Homeopath, 0.7 
1616,Especialista,Dentist, 8.0 
1617,Clinica,Ayurveda, 8.0 
1618,Hospital,Homeopath, 8.0 
1619,ONG,General Medicine, 8.0 
1620,Otro,General Medicine, 8.0 
1621,Medico,Dermatologists, 8.0 
1622,Especialista,Ayurveda, 10.0 
1623,Clinica,Dentist, 9.8 
1624,Hospital,Ayurveda, 8.0 
1625,ONG,Dentist, 8.0 
1626,Otro,Ayurveda, 8.0 
1627,Medico,Dentist, 8.0 
1628,Especialista,Ayurveda, 9.9 
1629,Clinica,General Medicine, 8.0 
1630,Hospital,Ayurveda, 9.8 
1631,ONG,Dermatologists, 8.0 
1632,Otro,Ayurveda, 8.0 
1633,Medico,Dentist, 8.0 
1634,Especialista,General Medicine, 8.0 
1635,Clinica,Dermatologists, 8.0 
1636,Hospital,Dentist, 7.9 
1637,ONG,Ayurveda, 10.0 
1638,Otro,General Medicine, 8.0 
1639,Medico,Dermatologists, 8.0 
1640,Especialista,ENT Specialist, 8.0 
1641,Clinica,Ayurveda, 8.0 
1642,Hospital,Ayurveda, 8.0 
1643,ONG,General Medicine, 8.0 
1644,Otro,General Medicine, 10.0 
1645,Medico,General Medicine, 8.0 
1646,Especialista,Dermatologists, 10.0 
1647,Clinica,General Medicine, 8.0 
1648,Hospital,ENT Specialist, 9.8 
1649,ONG,Ayurveda, 7.6 
1650,Otro,Dentist, 8.0 
1651,Medico,Dentist, 8.0 
1652,Especialista,ENT Specialist, 10.0 
1653,Clinica,Dentist, 9.5 
1654,Hospital,Dermatologists, 8.0 
1655,ONG,ENT Specialist, 10.0 
1656,Otro,ENT Specialist, 8.0 
1657,Medico,General Medicine, 8.0 
1658,Especialista,Homeopath, 8.0 
1659,Clinica,Dentist, 8.0 
1660,Hospital,Dentist, 8.0 
1661,ONG,General Medicine, 10.0 
1662,Otro,Ayurveda, 9.0 
1663,Medico,General Medicine, 10.0 
1664,Especialista,Dentist, 8.0 
1665,Clinica,Dentist, 8.0 
1666,Hospital,Dentist, 10.0 
1667,ONG,Dentist, 8.0 
1668,Otro,Ayurveda, 9.9 
1669,Medico,General Medicine, 9.7 
1670,Especialista,ENT Specialist, 10.0 
1671,Clinica,ENT Specialist, 8.0 
1672,Hospital,Homeopath, 8.0 
1673,ONG,Homeopath, 10.0 
1674,Otro,Dermatologists, 10.0 
1675,Medico,Dentist, 9.5 
1676,Especialista,Dentist, 10.0 
1677,Clinica,Dermatologists, 9.8 
1678,Hospital,ENT Specialist, 8.0 
1679,ONG,Homeopath, 8.0 
1680,Otro,Dentist, 10.0 
1681,Medico,General Medicine, 10.0 
1682,Especialista,Dentist, 8.0 
1683,Clinica,General Medicine, 10.0 
1684,Hospital,General Medicine, 8.0 
1685,ONG,Homeopath, 8.0 
1686,Otro,Ayurveda, 10.0 
1687,Medico,General Medicine, 8.0 
1688,Especialista,Ayurveda, 8.0 
1689,Clinica,Homeopath, 8.0 
1690,Hospital,General Medicine, 8.0 
1691,ONG,General Medicine, 8.0 
1692,Otro,Dentist, 8.0 
1693,Medico,Dentist, 10.0 
1694,Especialista,Ayurveda, 8.0 
1695,Clinica,General Medicine, 8.0 
1696,Hospital,General Medicine, 9.0 
1697,ONG,Dentist, 8.0 
1698,Otro,ENT Specialist, 8.2 
1699,Medico,ENT Specialist, 8.0 
1700,Especialista,Dentist, 9.0 
1701,Clinica,General Medicine, 9.7 
1702,Hospital,General Medicine, 8.0 
1703,ONG,General Medicine, 9.2 
1704,Otro,General Medicine, 810.0 
1705,Medico,ENT Specialist, 10.0 
1706,Especialista,Dentist, 8.0 
1707,Clinica,Dentist, 9.9 
1708,Hospital,ENT Specialist, 10.0 
1709,ONG,Dentist, 8.0 
1710,Otro,Ayurveda, 9.7 
1711,Medico,Homeopath, 8.0 
1712,Especialista,Homeopath, 8.0 
1713,Clinica,Dermatologists, 8.0 
1714,Hospital,Homeopath, 10.0 
1715,ONG,ENT Specialist, 8.0 
1716,Otro,Ayurveda, 8.0 
1717,Medico,ENT Specialist, 8.0 
1718,Especialista,General Medicine, 0.6 
1719,Clinica,Dentist, 8.0 
1720,Hospital,Ayurveda, 10.0 
1721,ONG,Dentist, 8.0 
1722,Otro,Homeopath, 9.5 
1723,Medico,Dentist, 8.0 
1724,Especialista,Dermatologists, 9.9 
1725,Clinica,Homeopath, 9.6 
1726,Hospital,Dentist, 8.0 
1727,ONG,Homeopath, 9.8 
1728,Otro,Dermatologists, 8.0 
1729,Medico,Dentist, 9.7 
1730,Especialista,Dermatologists, 8.0 
1731,Clinica,Homeopath, 9.3 
1732,Hospital,Dermatologists, 8.0 
1733,ONG,Dentist, 10.0 
1734,Otro,Dermatologists, 9.9 
1735,Medico,Dentist, 8.0 
1736,Especialista,Dentist, 10.0 
1737,Clinica,General Medicine, 10.0 
1738,Hospital,Homeopath, 9.3 
1739,ONG,Ayurveda, 8.0 
1740,Otro,Dentist, 8.0 
1741,Medico,ENT Specialist, 9.6 
1742,Especialista,Ayurveda, 0.8 
1743,Clinica,Dermatologists, 8.0 
1744,Hospital,Dentist, 7.9 
1745,ONG,General Medicine, 9.0 
1746,Otro,Dermatologists, 8.0 
1747,Medico,General Medicine, 9.4 
1748,Especialista,ENT Specialist, 0.7 
1749,Clinica,ENT Specialist, 8.0 
1750,Hospital,ENT Specialist, 8.0 
1751,ONG,General Medicine, 10.0 
1752,Otro,Dentist, 8.0 
1753,Medico,General Medicine, 9.8 
1754,Especialista,Dermatologists, 8.0 
1755,Clinica,Dermatologists, 8.0 
1756,Hospital,General Medicine, 9.6 
1757,ONG,Ayurveda, 8.0 
1758,Otro,Dentist, 8.0 
1759,Medico,General Medicine, 8.0 
1760,Especialista,Ayurveda, 8.7 
1761,Clinica,Dentist, 8.0 
1762,Hospital,Homeopath, 9.9 
1763,ONG,General Medicine, 10.0 
1764,Otro,Dentist, 8.0 
1765,Medico,Dermatologists, 10.0 
1766,Especialista,Ayurveda, 8.0 
1767,Clinica,Dermatologists, 9.6 
1768,Hospital,Dermatologists, 8.0 
1769,ONG,Ayurveda, 9.0 
1770,Otro,Dermatologists, 8.0 
1771,Medico,Homeopath, 9.6 
1772,Especialista,Dentist, 8.0 
1773,Clinica,Ayurveda, 10.0 
1774,Hospital,Homeopath, 10.0 
1775,ONG,General Medicine, 8.0 
1776,Otro,Dermatologists, 8.0 
1777,Medico,Ayurveda, 8.0 
1778,Especialista,General Medicine, 8.8 
1779,Clinica,Ayurveda, 0.6 
1780,Hospital,ENT Specialist, 8.0 
1781,ONG,General Medicine, 9.5 
1782,Otro,General Medicine, 8.0 
1783,Medico,Dentist, 8.0 
1784,Especialista,Dermatologists, 9.9 
1785,Clinica,ENT Specialist, 8.0 
1786,Hospital,General Medicine, 8.0 
1787,ONG,Dentist, 8.0 
1788,Otro,Dentist, 10.0 
1789,Medico,Ayurveda, 8.0 
1790,Especialista,Homeopath, 8.0 
1791,Clinica,Ayurveda, 10.0 
1792,Hospital,Dentist, 8.0 
1793,ONG,General Medicine, 8.0 
1794,Otro,Dermatologists, 84.0 
1795,Medico,Ayurveda, 8.0 
1796,Especialista,ENT Specialist, 8.0 
1797,Clinica,Dentist, 0.7 
1798,Hospital,Dentist, 10.0 
1799,ONG,Ayurveda, 8.0 
1800,Otro,Dentist, 8.0 
1801,Medico,Dermatologists, 9.8 
1802,Especialista,Dermatologists, 8.0 
1803,Clinica,Homeopath, 8.5 
1804,Hospital,Dentist, 8.0 
1805,ONG,Dermatologists, 9.9 
1806,Otro,General Medicine, 8.0 
1807,Medico,Dentist, 8.0 
1808,Especialista,Ayurveda, 9.2 
1809,Clinica,Dermatologists, 9.6 
1810,Hospital,ENT Specialist, 8.0 
1811,ONG,Dentist, 8.0 
1812,Otro,ENT Specialist, 10.0 
1813,Medico,Dermatologists, 8.0 
1814,Especialista,Homeopath, 9.5 
1815,Clinica,General Medicine, 9.9 
1816,Hospital,Homeopath, 8.0 
1817,ONG,General Medicine, 8.0 
1818,Otro,Homeopath, 9.9 
1819,Medico,General Medicine, 8.0 
1820,Especialista,ENT Specialist, 9.9 
1821,Clinica,Dentist, 9.8 
1822,Hospital,Homeopath, 9.0 
1823,ONG,Homeopath, 10.0 
1824,Otro,ENT Specialist, 9.0 
1825,Medico,Dentist, 8.0 
1826,Especialista,Homeopath, 9.5 
1827,Clinica,Dermatologists, 8.0 
1828,Hospital,Dentist, 8.0 
1829,ONG,Dentist, 8.0 
1830,Otro,Dentist, 9.8 
1831,Medico,General Medicine, 9.0 
1832,Especialista,Dentist, 8.2 
1833,Clinica,Dermatologists, 9.2 
1834,Hospital,Homeopath, 8.0 
1835,ONG,Homeopath, 8.0 
1836,Otro,ENT Specialist, 8.0 
1837,Medico,ENT Specialist, 8.0 
1838,Especialista,General Medicine, 8.0 
1839,Clinica,General Medicine, 8.0 
1840,Hospital,Homeopath, 9.4 
1841,ONG,Dentist, 10.0 
1842,Otro,General Medicine, 8.0 
1843,Medico,Dermatologists, 8.0 
1844,Especialista,Dermatologists, 8.0 
1845,Clinica,Dermatologists, 8.9 
1846,Hospital,Dermatologists, 8.0 
1847,ONG,General Medicine, 8.0 
1848,Otro,Dentist, 8.0 
1849,Medico,Dermatologists, 9.5 
1850,Especialista,ENT Specialist, 8.0 
1851,Clinica,Dermatologists, 8.0 
1852,Hospital,General Medicine, 8.0 
1853,ONG,Dentist, 0.7 
1854,Otro,ENT Specialist, 8.0 
1855,Medico,Dentist, 8.0 
1856,Especialista,Homeopath, 10.0 
1857,Clinica,General Medicine, 8.0 
1858,Hospital,Dentist, 8.0 
1859,ONG,Ayurveda, 10.0 
1860,Otro,ENT Specialist, 8.0 
1861,Medico,General Medicine, 9.3 
1862,Especialista,Ayurveda, 8.0 
1863,Clinica,Homeopath, 9.7 
1864,Hospital,Dentist, 10.0 
1865,ONG,General Medicine, 8.0 
1866,Otro,Dermatologists, 8.0 
1867,Medico,General Medicine, 10.0 
1868,Especialista,Dermatologists, 8.0 
1869,Clinica,Dentist, 9.8 
1870,Hospital,Dermatologists, 8.0 
1871,ONG,ENT Specialist, 9.0 
1872,Otro,Homeopath, 8.0 
1873,Medico,General Medicine, 8.0 
1874,Especialista,General Medicine, 8.0 
1875,Clinica,Dentist, 10.0 
1876,Hospital,Dermatologists, 9.7 
1877,ONG,ENT Specialist, 8.0 
1878,Otro,Ayurveda, 0.7 
1879,Medico,Dermatologists, 8.0 
1880,Especialista,Dentist, 8.0 
1881,Clinica,Dermatologists, 9.7 
1882,Hospital,General Medicine, 8.0 
1883,ONG,Dermatologists, 8.0 
1884,Otro,ENT Specialist, 9.5 
1885,Medico,General Medicine, 9.0 
1886,Especialista,Dermatologists, 8.0 
1887,Clinica,General Medicine, 9.9 
1888,Hospital,General Medicine, 8.0 
1889,ONG,Homeopath, 8.0 
1890,Otro,Ayurveda, 9.9 
1891,Medico,General Medicine, 8.0 
1892,Especialista,General Medicine, 8.0 
1893,Clinica,Homeopath, 8.0 
1894,Hospital,Dentist, 9.9 
1895,ONG,Ayurveda, 9.6 
1896,Otro,Dermatologists, 8.0 
1897,Medico,Dentist, 10.0 
1898,Especialista,Dentist, 10.0 
1899,Clinica,Dentist, 9.4 
1900,Hospital,Dermatologists, 10.0 
1901,ONG,Homeopath, 8.0 
1902,Otro,ENT Specialist, 8.0 
1903,Medico,Homeopath, 8.0 
1904,Especialista,ENT Specialist, 8.0 
1905,Clinica,Ayurveda, 8.0 
1906,Hospital,Ayurveda, 8.0 
1907,ONG,Ayurveda, 8.0 
1908,Otro,Homeopath, 8.5 
1909,Medico,Dentist, 8.0 
1910,Especialista,Ayurveda, 8.0 
1911,Clinica,ENT Specialist, 8.0 
1912,Hospital,General Medicine, 9.7 
1913,ONG,Homeopath, 9.2 
1914,Otro,Homeopath, 9.8 
1915,Medico,Ayurveda, 8.0 
1916,Especialista,Ayurveda, 8.0 
1917,Clinica,Dermatologists, 8.0 
1918,Hospital,Ayurveda, 9.0 
1919,ONG,Homeopath, 8.0 
1920,Otro,Dentist, 9.2 
1921,Medico,Dentist, 8.0 
1922,Especialista,Homeopath, 10.0 
1923,Clinica,Dentist, 9.0 
1924,Hospital,General Medicine, 10.0 
1925,ONG,General Medicine, 8.0 
1926,Otro,ENT Specialist, 8.0 
1927,Medico,Homeopath, 8.0 
1928,Especialista,General Medicine, 8.0 
1929,Clinica,Dermatologists, 8.0 
1930,Hospital,Dentist, 9.8 
1931,ONG,General Medicine, 8.0 
1932,Otro,Ayurveda, 8.0 
1933,Medico,Homeopath, 8.0 
1934,Especialista,Dermatologists, 8.0 
1935,Clinica,Dentist, 9.7 
1936,Hospital,General Medicine, 9.9 
1937,ONG,Dermatologists, 8.0 
1938,Otro,Dentist, 7.9 
1939,Medico,Dermatologists, 8.0 
1940,Especialista,Dentist, 8.0 
1941,Clinica,Dentist, 9.7 
1942,Hospital,Ayurveda, 8.0 
1943,ONG,Dermatologists, 9.8 
1944,Otro,Homeopath, 9.9 
1945,Medico,General Medicine, 8.0 
1946,Especialista,Dermatologists, 9.4 
1947,Clinica,General Medicine, 9.8 
1948,Hospital,Ayurveda, 9.9 
1949,ONG,General Medicine, 8.0 
1950,Otro,Dentist, 8.0 
1951,Medico,Dentist, 9.4 
1952,Especialista,Dentist, 9.8 
1953,Clinica,ENT Specialist, 8.0 
1954,Hospital,General Medicine, 9.3 
1955,ONG,Dentist, 8.0 
1956,Otro,Dermatologists, 8.0 
1957,Medico,Dentist, 9.2 
1958,Especialista,General Medicine, 9.8 
1959,Clinica,ENT Specialist, 8.0 
1960,Hospital,General Medicine, 8.0 
1961,ONG,Dentist, 8.0 
1962,Otro,Dermatologists, 10.0 
1963,Medico,Ayurveda, 9.7 
1964,Especialista,General Medicine, 8.0 
1965,Clinica,ENT Specialist, 8.0 
1966,Hospital,Dermatologists, 9.7 
1967,ONG,Dentist, 8.0 
1968,Otro,Ayurveda, 8.0 
1969,Medico,Ayurveda, 8.0 
1970,Especialista,Ayurveda, 8.0 
1971,Clinica,ENT Specialist, 9.3 
1972,Hospital,ENT Specialist, 8.0 
1973,ONG,Dermatologists, 8.0 
1974,Otro,Dentist, 9.4 
1975,Medico,Dentist, 8.0 
1976,Especialista,Homeopath, 9.7 
1977,Clinica,Dermatologists, 8.0 
1978,Hospital,ENT Specialist, 9.8 
1979,ONG,ENT Specialist, 8.0 
1980,Otro,Homeopath, 9.9 
1981,Medico,General Medicine, 8.0 
1982,Especialista,Ayurveda, 8.0 
1983,Clinica,Dermatologists, 8.0 
1984,Hospital,Homeopath, 9.7 
1985,ONG,ENT Specialist, 10.0 
1986,Otro,General Medicine, 84.0 
1987,Medico,ENT Specialist, 8.0 
1988,Especialista,Homeopath, 9.6 
1989,Clinica,Ayurveda, 8.0 
1990,Hospital,Dermatologists, 8.0 
1991,ONG,Homeopath, 9.0 
1992,Otro,Ayurveda, 8.0 
1993,Medico,General Medicine, 10.0 
1994,Especialista,Dentist, 9.2 
1995,Clinica,Homeopath, 10.0 
1996,Hospital,Ayurveda, 9.9 
1997,ONG,General Medicine, 8.0 
1998,Otro,Dentist, 8.0 
1999,Medico,Dermatologists, 9.0 
2000,Especialista,Dermatologists, 9.5 
2001,Clinica,General Medicine, 8.0 
2002,Hospital,Dermatologists, 8.0 
2003,ONG,Homeopath, 8.8 
2004,Otro,Homeopath, 8.0 
2005,Medico,Ayurveda, 8.0 
2006,Especialista,Dentist, 8.0 
2007,Clinica,ENT Specialist, 8.0 
2008,Hospital,General Medicine, 8.0 
2009,ONG,Dentist, 9.5 
2010,Otro,General Medicine, 8.0 
2011,Medico,Homeopath, 8.0 
2012,Especialista,Dentist, 8.0 
2013,Clinica,Dentist, 8.0 
2014,Hospital,Dentist, 9.8 
2015,ONG,General Medicine, 9.7 
2016,Otro,Ayurveda, 9.5 
2017,Medico,Homeopath, 8.0 
2018,Especialista,Dermatologists, 10.0 
2019,Clinica,Dentist, 9.5 
2020,Hospital,Dentist, 9.9 
2021,ONG,Dermatologists, 9.8 
2022,Otro,General Medicine, 8.0 
2023,Medico,General Medicine, 8.8 
2024,Especialista,Homeopath, 8.0 
2025,Clinica,Dermatologists, 8.0 
2026,Hospital,General Medicine, 9.8 
2027,ONG,ENT Specialist, 8.0 
2028,Otro,General Medicine, 9.4 
2029,Medico,Homeopath, 8.0 
2030,Especialista,Homeopath, 9.8 
2031,Clinica,Dermatologists, 8.0 
2032,Hospital,Dentist, 8.0 
2033,ONG,Dentist, 8.0 
2034,Otro,General Medicine, 9.6 
2035,Medico,Dentist, 9.4 
2036,Especialista,Ayurveda, 9.7 
2037,Clinica,Ayurveda, 10.0 
2038,Hospital,Dentist, 8.0 
2039,ONG,Homeopath, 9.7 
2040,Otro,Dermatologists, 8.0 
2041,Medico,Homeopath, 9.3 
2042,Especialista,Dermatologists, 8.0 
2043,Clinica,General Medicine, 8.0 
2044,Hospital,General Medicine, 8.0 
2045,ONG,ENT Specialist, 8.0 
2046,Otro,General Medicine, 8.0 
2047,Medico,General Medicine, 8.0 
2048,Especialista,Dentist, 8.9 
2049,Clinica,General Medicine, 10.0 
2050,Hospital,General Medicine, 8.0 
2051,ONG,General Medicine, 8.0 
2052,Otro,Dentist, 8.0 
2053,Medico,Dentist, 8.0 
2054,Especialista,General Medicine, 9.8 
2055,Clinica,Homeopath, 8.0 
2056,Hospital,Dermatologists, 8.0 
2057,ONG,Dermatologists, 8.0 
2058,Otro,Dentist, 9.0 
2059,Medico,Dentist, 9.0 
2060,Especialista,General Medicine, 8.0 
2061,Clinica,Dentist, 8.0 
2062,Hospital,General Medicine, 9.9 
2063,ONG,General Medicine, 8.0 
2064,Otro,Dentist, 8.0 
2065,Medico,Dermatologists, 9.9 
2066,Especialista,Dentist, 9.6 
2067,Clinica,Homeopath, 8.0 
2068,Hospital,Dentist, 10.0 
2069,ONG,Dermatologists, 10.0 
2070,Otro,General Medicine, 9.7 
2071,Medico,ENT Specialist, 8.0 
2072,Especialista,Homeopath, 8.0 
2073,Clinica,ENT Specialist, 8.0 
2074,Hospital,Dermatologists, 8.6 
2075,ONG,Dentist, 9.6 
2076,Otro,Dermatologists, 10.0 
2077,Medico,Dermatologists, 10.0 
2078,Especialista,Dermatologists, 8.0 
2079,Clinica,Dentist, 8.0 
2080,Hospital,General Medicine, 10.0 
2081,ONG,General Medicine, 9.8 
2082,Otro,Homeopath, 10.0 
2083,Medico,Homeopath, 8.0 
2084,Especialista,General Medicine, 8.0 
2085,Clinica,Homeopath, 8.0 
2086,Hospital,Homeopath, 8.0 
2087,ONG,Dentist, 10.0 
2088,Otro,Homeopath, 8.0 
2089,Medico,ENT Specialist, 8.0 
2090,Especialista,Ayurveda, 0.6 
2091,Clinica,Dermatologists, 8.0 
2092,Hospital,Ayurveda, 9.5 
2093,ONG,Dermatologists, 8.0 
2094,Otro,Ayurveda, 9.6 
2095,Medico,Dentist, 8.0 
2096,Especialista,Homeopath, 9.6 
2097,Clinica,Dentist, 8.0 
2098,Hospital,General Medicine, 8.0 
2099,ONG,Homeopath, 9.8 
2100,Otro,General Medicine, 8.0 
2101,Medico,ENT Specialist, 9.6 
2102,Especialista,Dentist, 8.0 
2103,Clinica,Dermatologists, 9.8 
2104,Hospital,Homeopath, 9.8 
2105,ONG,Dermatologists, 8.0 
2106,Otro,Dentist, 10.0 
2107,Medico,Ayurveda, 8.0 
2108,Especialista,Dermatologists, 8.0 
2109,Clinica,General Medicine, 9.6 
2110,Hospital,ENT Specialist, 8.0 
2111,ONG,General Medicine, 8.0 
2112,Otro,General Medicine, 8.0 
2113,Medico,Dermatologists, 8.0 
2114,Especialista,Dermatologists, 8.8 
2115,Clinica,Ayurveda, 9.7 
2116,Hospital,ENT Specialist, 8.0 
2117,ONG,Homeopath, 8.0 
2118,Otro,ENT Specialist, 8.0 
2119,Medico,Homeopath, 8.5 
2120,Especialista,Homeopath, 10.0 
2121,Clinica,Dentist, 9.9 
2122,Hospital,Dentist, 9.9 
2123,ONG,Ayurveda, 8.0 
2124,Otro,Dentist, 8.0 
2125,Medico,Dentist, 10.0 
2126,Especialista,Dermatologists, 10.0 
2127,Clinica,Dermatologists, 9.9 
2128,Hospital,Dermatologists, 10.0 
2129,ONG,Ayurveda, 8.9 
2130,Otro,General Medicine, 8.0 
2131,Medico,Dentist, 8.0 
2132,Especialista,Dermatologists, 9.9 
2133,Clinica,Homeopath, 8.0 
2134,Hospital,Dermatologists, 10.0 
2135,ONG,Ayurveda, 8.0 
2136,Otro,Dermatologists, 8.8 
2137,Medico,Dentist, 8.0 
2138,Especialista,ENT Specialist, 10.0 
2139,Clinica,ENT Specialist, 8.5 
2140,Hospital,Ayurveda, 9.2 
2141,ONG,Dermatologists, 8.0 
2142,Otro,ENT Specialist, 10.0 
2143,Medico,Ayurveda, 9.6 
2144,Especialista,Homeopath, 10.0 
2145,Clinica,Homeopath, 8.0 
2146,Hospital,Homeopath, 8.0 
2147,ONG,General Medicine, 8.0 
2148,Otro,ENT Specialist, 8.0 
2149,Medico,Homeopath, 8.9 
2150,Especialista,Dentist, 9.7 
2151,Clinica,Ayurveda, 9.6 
2152,Hospital,Dentist, 8.0 
2153,ONG,Homeopath, 10.0 
2154,Otro,General Medicine, 8.0 
2155,Medico,Dentist, 8.0 
2156,Especialista,Ayurveda, 10.0 
2157,Clinica,Dermatologists, 8.0 
2158,Hospital,Dentist, 9.9 
2159,ONG,Dentist, 9.9 
2160,Otro,Dermatologists, 8.0 
2161,Medico,General Medicine, 9.8 
2162,Especialista,Dentist, 0.7 
2163,Clinica,Dentist, 8.0 
2164,Hospital,General Medicine, 10.0 
2165,ONG,General Medicine, 8.0 
2166,Otro,Dermatologists, 10.0 
2167,Medico,Ayurveda, 8.0 
2168,Especialista,Dermatologists, 8.0 
2169,Clinica,Dentist, 8.0 
2170,Hospital,ENT Specialist, 8.0 
2171,ONG,Dermatologists, 8.0 
2172,Otro,General Medicine, 10.0 
2173,Medico,General Medicine, 8.0 
2174,Especialista,Dentist, 8.0 
2175,Clinica,Dentist, 8.0 
2176,Hospital,Dermatologists, 8.0 
2177,ONG,Dermatologists, 8.0 
2178,Otro,Dermatologists, 9.0 
2179,Medico,General Medicine, 8.0 
2180,Especialista,Dermatologists, 8.0 
2181,Clinica,Dentist, 8.0 
2182,Hospital,Dentist, 9.3 
2183,ONG,ENT Specialist, 8.0 
2184,Otro,Ayurveda, 8.0 
2185,Medico,General Medicine, 8.0 
2186,Especialista,Dentist, 8.0 
2187,Clinica,Homeopath, 9.9 
2188,Hospital,Homeopath, 8.0 
2189,ONG,Dermatologists, 8.0 
2190,Otro,Ayurveda, 8.0 
2191,Medico,Dermatologists, 8.0 
2192,Especialista,ENT Specialist, 9.6 
2193,Clinica,Dermatologists, 8.0 
2194,Hospital,Homeopath, 9.7 
2195,ONG,General Medicine, 8.0 
2196,Otro,ENT Specialist, 10.0 
2197,Medico,Homeopath, 9.9 
2198,Especialista,ENT Specialist, 8.0 
2199,Clinica,ENT Specialist, 8.0 
2200,Hospital,Dermatologists, 8.0 
2201,ONG,Dentist, 8.0 
2202,Otro,General Medicine, 9.8 
2203,Medico,General Medicine, 8.0 
2204,Especialista,Homeopath, 8.0 
2205,Clinica,ENT Specialist, 9.7 
2206,Hospital,Ayurveda, 8.6 
2207,ONG,Dentist, 8.0 
2208,Otro,ENT Specialist, 9.9 
2209,Medico,Dermatologists, 9.6 
2210,Especialista,General Medicine, 9.0 
2211,Clinica,General Medicine, 8.0 
2212,Hospital,Dermatologists, 8.0 
2213,ONG,Dermatologists, 8.0 
2214,Otro,Ayurveda, 8.0 
2215,Medico,Homeopath, 8.0 
2216,Especialista,General Medicine, 8.0 
