Id,Tipo,Edad,Sexo,Especialidad,Pacientes,Casos
1387,Medico,38,H,General Medicine,700,10103
1388,Especialista,54,H,Dermatologists,400,1068
1389,Clinica,40,H,Dentist,1000,380
1390,Hospital,59,H,General Medicine,500,225
1391,ONG,44,H,General Medicine,500,400
1392,Otro,56,H,Dermatologists,1000,4810
1393,Medico,70,H,General Medicine,800,485
1394,Especialista,57,H,Dentist,300,352
1395,Clinica,60,H,Ayurveda,1000,321
1396,Hospital,50,H,Dermatologists,70,332
1397,ONG,58,H,Homeopath,300,1036
1398,Otro,50,H,Ayurveda,1000,267
1399,Medico,63,H,Dermatologists,300,1031
1400,Especialista,61,H,Dentist,800,96
1401,Clinica,38,H,ENT Specialist,1000,258
1402,Hospital,44,H,Dentist,600,1052
1403,ONG,59,H,Ayurveda,300,365
1404,Otro,64,H,ENT Specialist,300,25
1405,Medico,58,H,Ayurveda,500,1085
1406,Especialista,31,H,Dermatologists,300,474
1407,Clinica,31,H,General Medicine,1000,534
1408,Hospital,54,H,Dentist,200,279
1409,ONG,37,H,Homeopath,500,580
1410,Otro,45,H,Ayurveda,400,520
1411,Medico,42,H,General Medicine,350,47
1412,Especialista,65,H,Dentist,300,1086
1413,Clinica,53,H,General Medicine,200,593
1414,Hospital,63,H,Ayurveda,300,465
1415,ONG,53,H,Dentist,299,1030
1416,Otro,54,H,ENT Specialist,200,323
1417,Medico,57,H,Homeopath,400,3110
1418,Especialista,45,H,Dermatologists,600,296
1419,Clinica,54,H,General Medicine,1000,10100
1420,Hospital,48,H,ENT Specialist,800,430
1421,ONG,50,H,General Medicine,500,335
1422,Otro,43,H,Ayurveda,300,582
1423,Medico,31,H,Dermatologists,500,398
1424,Especialista,40,H,Ayurveda,1000,524
1425,Clinica,63,H,Dermatologists,200,1029
1426,Hospital,55,H,General Medicine,750,444
1427,ONG,32,H,Dermatologists,600,484
1428,Otro,70,H,Ayurveda,1000,528
1429,Medico,40,H,Ayurveda,1000,443
1430,Especialista,44,H,Dentist,1000,525
1431,Clinica,30,H,Dentist,1000,1053
1432,Hospital,58,H,General Medicine,300,360
1433,ONG,58,H,Dermatologists,1000,320
1434,Otro,58,H,Ayurveda,1000,369
1435,Medico,37,H,Dentist,1050,1068
1436,Especialista,46,H,Dentist,300,23
1437,Clinica,40,H,General Medicine,200,5010
1438,Hospital,37,H,General Medicine,600,358
1439,ONG,38,H,Dentist,200,441
1440,Otro,36,H,Homeopath,500,584
1441,Medico,44,H,Homeopath,400,538
1442,Especialista,60,H,General Medicine,300,4910
1443,Clinica,31,H,Dentist,300,372
1444,Hospital,66,H,ENT Specialist,1000,26
1445,ONG,42,H,Dermatologists,300,1033
1446,Otro,69,H,General Medicine,550,10107
1447,Medico,64,H,General Medicine,200,80
1448,Especialista,68,H,General Medicine,500,237
1449,Clinica,31,H,Ayurveda,350,1035
1450,Hospital,36,H,Dentist,500,496
1451,ONG,32,H,General Medicine,500,539
1452,Otro,66,H,General Medicine,70,224
1453,Medico,34,H,Homeopath,1050,1000
1454,Especialista,40,H,Ayurveda,1050,475
1455,Clinica,48,H,Homeopath,200,1024
1456,Hospital,35,H,General Medicine,250,248
1457,ONG,44,H,ENT Specialist,350,66
1458,Otro,41,H,Dermatologists,300,440
1459,Medico,64,H,Dentist,250,595
1460,Especialista,59,H,Ayurveda,200,340
1461,Clinica,65,H,General Medicine,70,1030
1462,Hospital,58,H,Dentist,1000,98
1463,ONG,36,H,Dermatologists,200,42
1464,Otro,58,H,Ayurveda,400,508
1465,Medico,70,H,ENT Specialist,1000,37
1466,Especialista,47,H,Homeopath,1000,383
1467,Clinica,38,H,Homeopath,550,475
1468,Hospital,63,H,General Medicine,200,347
1469,ONG,48,H,General Medicine,1050,44
1470,Otro,52,H,Dentist,400,910
1471,Medico,40,H,Homeopath,1000,97
1472,Especialista,54,H,Ayurveda,1000,463
1473,Clinica,46,H,Homeopath,1000,207
1474,Hospital,39,H,Dentist,1050,456
1475,ONG,48,H,ENT Specialist,200,525
1476,Otro,53,H,ENT Specialist,300,502
1477,Medico,51,H,Dermatologists,300,440
1478,Especialista,67,H,General Medicine,500,580
1479,Clinica,65,H,Dermatologists,350,4010
1480,Hospital,56,H,Dermatologists,600,10102
1481,ONG,48,H,Dentist,500,305
1482,Otro,48,H,Ayurveda,1000,548
1483,Medico,30,H,Dermatologists,200,232
1484,Especialista,41,H,Ayurveda,250,1054
1485,Clinica,53,H,General Medicine,300,1072
1486,Hospital,51,H,ENT Specialist,50,337
1487,ONG,60,H,Dentist,500,1096
1488,Otro,63,H,Homeopath,1000,1099
1489,Medico,54,H,ENT Specialist,200,315
1490,Especialista,57,H,Dermatologists,400,495
1491,Clinica,52,H,ENT Specialist,1000,1083
1492,Hospital,35,H,Dentist,500,586
1493,ONG,69,H,Dentist,400,440
1494,Otro,32,H,Ayurveda,1000,1060
1495,Medico,59,H,Dermatologists,400,23
1496,Especialista,65,H,Dentist,500,1010
1497,Clinica,52,H,Dentist,1000,1005
1498,Hospital,51,H,Ayurveda,1000,524
1499,ONG,53,H,Ayurveda,250,1060
1500,Otro,49,H,Dermatologists,1000,25
1501,Medico,42,H,Dermatologists,500,1078
1502,Especialista,70,H,Dermatologists,200,423
1503,Clinica,70,H,Dermatologists,500,1038
1504,Hospital,46,H,Ayurveda,300,267
1505,ONG,65,H,General Medicine,1000,44
1506,Otro,39,H,General Medicine,1000,3910
1507,Medico,63,H,Homeopath,500,289
1508,Especialista,43,H,General Medicine,200,1022
1509,Clinica,39,H,Ayurveda,300,1005
1510,Hospital,66,H,ENT Specialist,200,284
1511,ONG,34,H,Dentist,500,32
1512,Otro,53,H,Ayurveda,200,329
1513,Medico,43,H,Dermatologists,1000,550
1514,Especialista,59,H,General Medicine,700,2910
1515,Clinica,48,H,General Medicine,700,1037
1516,Hospital,55,H,General Medicine,400,408
1517,ONG,63,H,Dermatologists,300,355
1518,Otro,48,H,General Medicine,700,570
1519,Medico,59,H,General Medicine,300,570
1520,Especialista,45,H,Ayurveda,300,3110
1521,Clinica,41,H,Homeopath,200,421
1522,Hospital,53,H,Ayurveda,200,2
1523,ONG,66,H,Ayurveda,300,10102
1524,Otro,31,H,Homeopath,400,42
1525,Medico,33,H,General Medicine,1000,466
1526,Especialista,34,H,Dentist,200,335
1527,Clinica,58,H,Dentist,1000,22
1528,Hospital,46,H,ENT Specialist,200,458
1529,ONG,64,H,Dermatologists,1000,332
1530,Otro,54,H,Homeopath,400,98
1531,Medico,57,H,Ayurveda,350,472
1532,Especialista,43,H,General Medicine,500,444
1533,Clinica,33,H,Ayurveda,500,46
1534,Hospital,38,H,Dermatologists,200,107
1535,ONG,42,H,ENT Specialist,400,430
1536,Otro,38,H,ENT Specialist,350,566
1537,Medico,42,H,Dentist,800,365
1538,Especialista,65,H,Homeopath,200,38
1539,Clinica,38,H,Ayurveda,200,4010
1540,Hospital,47,H,Dentist,1050,516
1541,ONG,61,H,Dentist,200,525
1542,Otro,46,H,Dermatologists,300,540
1543,Medico,38,H,Homeopath,200,1080
1544,Especialista,30,H,General Medicine,500,453
1545,Clinica,44,H,Homeopath,550,455
1546,Hospital,53,H,Dermatologists,500,97
1547,ONG,43,H,General Medicine,500,98
1548,Otro,55,H,Ayurveda,500,304
1549,Medico,32,H,Dentist,1000,1000
1550,Especialista,62,H,Dentist,1000,541
1551,Clinica,36,H,Dermatologists,250,373
1552,Hospital,69,H,Dermatologists,300,432
1553,ONG,33,H,ENT Specialist,1000,260
1554,Otro,65,H,Dermatologists,350,21
1555,Medico,44,H,Homeopath,500,233
1556,Especialista,69,H,General Medicine,450,66
1557,Clinica,59,H,Dermatologists,500,237
1558,Hospital,57,H,General Medicine,400,92
1559,ONG,61,H,Dentist,1000,306
1560,Otro,68,H,Dermatologists,200,1056
1561,Medico,47,H,Dermatologists,500,328
1562,Especialista,53,H,Dermatologists,300,1055
1563,Clinica,36,H,Dentist,500,70
1564,Hospital,41,H,Homeopath,800,1055
1565,ONG,55,H,Dermatologists,1000,556
1566,Otro,30,H,ENT Specialist,1000,424
1567,Medico,46,H,Ayurveda,500,484
1568,Especialista,32,H,Dermatologists,500,305
1569,Clinica,55,H,General Medicine,1000,440
1570,Hospital,48,H,Homeopath,500,98
1571,ONG,64,H,Homeopath,200,27
1572,Otro,53,H,Ayurveda,1000,1045
1573,Medico,40,H,Dentist,1000,1028
1574,Especialista,40,H,General Medicine,300,550
1575,Clinica,43,H,Dentist,450,503
1576,Hospital,60,H,Dentist,500,383
1577,ONG,51,H,ENT Specialist,1000,589
1578,Otro,32,H,Ayurveda,200,523
1579,Medico,41,H,Homeopath,50,337
1580,Especialista,43,H,Ayurveda,400,10105
1581,Clinica,58,H,Dentist,1000,559
1582,Hospital,64,H,General Medicine,1000,375
1583,ONG,54,H,Dermatologists,200,3910
1584,Otro,54,H,General Medicine,500,285
1585,Medico,47,H,Dentist,1000,10104
1586,Especialista,32,H,General Medicine,500,200
1587,Clinica,64,H,Dermatologists,350,377
1588,Hospital,63,H,Dermatologists,1000,525
1589,ONG,50,H,Ayurveda,1000,454
1590,Otro,47,H,General Medicine,500,521
1591,Medico,66,H,Homeopath,1000,89
1592,Especialista,41,H,Dermatologists,450,503
1593,Clinica,59,H,Homeopath,300,1060
1594,Hospital,59,H,Dermatologists,500,446
1595,ONG,60,H,Dentist,500,2810
1596,Otro,64,H,Homeopath,300,333
1597,Medico,36,H,Dentist,400,1048
1598,Especialista,54,H,Dentist,500,10107
1599,Clinica,42,H,Dermatologists,500,393
1600,Hospital,62,H,General Medicine,700,540
1601,ONG,67,H,General Medicine,500,487
1602,Otro,45,H,Dentist,1000,31
1603,Medico,56,H,Homeopath,200,1038
1604,Especialista,50,H,Homeopath,200,1059
1605,Clinica,65,H,ENT Specialist,500,423
1606,Hospital,48,H,Homeopath,1050,1029
1607,ONG,65,H,Dentist,400,710
1608,Otro,34,H,General Medicine,200,310
1609,Medico,52,H,Ayurveda,250,398
1610,Especialista,52,H,Homeopath,1000,97
1611,Clinica,54,H,Dermatologists,300,1073
1612,Hospital,69,H,Dermatologists,250,368
1613,ONG,44,H,Homeopath,800,10102
1614,Otro,53,H,General Medicine,500,1003
1615,Medico,33,H,Homeopath,300,10102
1616,Especialista,37,H,Dentist,1000,710
1617,Clinica,47,H,Ayurveda,1000,241
1618,Hospital,69,H,Homeopath,50,1059
1619,ONG,57,H,General Medicine,1050,318
1620,Otro,62,H,General Medicine,200,493
1621,Medico,38,H,Dermatologists,1000,327
1622,Especialista,43,H,Ayurveda,1000,329
1623,Clinica,32,H,Dentist,500,82
1624,Hospital,47,H,Ayurveda,1000,556
1625,ONG,68,H,Dentist,200,85
1626,Otro,37,H,Ayurveda,250,542
1627,Medico,36,H,Dentist,350,1029
1628,Especialista,69,H,Ayurveda,300,528
1629,Clinica,55,H,General Medicine,250,85
1630,Hospital,53,H,Ayurveda,1000,364
1631,ONG,36,H,Dermatologists,1000,334
1632,Otro,62,H,Ayurveda,900,388
1633,Medico,51,H,Dentist,300,579
1634,Especialista,53,H,General Medicine,1000,406
1635,Clinica,51,H,Dermatologists,1000,535
1636,Hospital,35,H,Dentist,500,262
1637,ONG,50,H,Ayurveda,300,208
1638,Otro,37,H,General Medicine,500,244
1639,Medico,38,H,Dermatologists,500,279
1640,Especialista,31,H,ENT Specialist,250,32
1641,Clinica,42,H,Ayurveda,1000,343
1642,Hospital,66,H,Ayurveda,1050,57
1643,ONG,44,H,General Medicine,300,50
1644,Otro,59,H,General Medicine,200,56
1645,Medico,32,H,General Medicine,700,315
1646,Especialista,47,H,Dermatologists,200,497
1647,Clinica,45,H,General Medicine,700,327
1648,Hospital,38,H,ENT Specialist,200,334
1649,ONG,33,H,Ayurveda,1000,99
1650,Otro,40,H,Dentist,50,1042
1651,Medico,65,H,Dentist,1000,204
1652,Especialista,56,H,ENT Specialist,1000,373
1653,Clinica,36,H,Dentist,700,378
1654,Hospital,33,H,Dermatologists,500,50
1655,ONG,34,H,ENT Specialist,250,508
1656,Otro,55,H,ENT Specialist,200,319
1657,Medico,49,H,General Medicine,600,542
1658,Especialista,32,H,Homeopath,800,363
1659,Clinica,47,H,Dentist,700,547
1660,Hospital,49,H,Dentist,1050,1031
1661,ONG,49,H,General Medicine,300,480
1662,Otro,63,H,Ayurveda,600,78
1663,Medico,67,H,General Medicine,500,365
1664,Especialista,30,H,Dentist,300,560
1665,Clinica,31,H,Dentist,1050,520
1666,Hospital,65,H,Dentist,200,574
1667,ONG,50,H,Dentist,300,1074
1668,Otro,58,H,Ayurveda,200,403
1669,Medico,55,H,General Medicine,1000,407
1670,Especialista,45,H,ENT Specialist,550,1070
1671,Clinica,52,H,ENT Specialist,800,101010
1672,Hospital,58,H,Homeopath,1000,69
1673,ONG,36,H,Homeopath,300,555
1674,Otro,51,H,Dermatologists,300,69
1675,Medico,66,H,Dentist,1000,36
1676,Especialista,49,H,Dentist,1000,1034
1677,Clinica,51,H,Dermatologists,1000,101010
1678,Hospital,59,H,ENT Specialist,200,388
1679,ONG,61,H,Homeopath,400,329
1680,Otro,37,H,Dentist,1000,204
1681,Medico,49,H,General Medicine,200,512
1682,Especialista,45,H,Dentist,1000,1056
1683,Clinica,43,H,General Medicine,1000,10710
1684,Hospital,70,H,General Medicine,1000,569
1685,ONG,63,H,Homeopath,300,525
1686,Otro,44,H,Ayurveda,200,524
1687,Medico,55,H,General Medicine,300,329
1688,Especialista,62,H,Ayurveda,300,40
1689,Clinica,34,H,Homeopath,1000,317
1690,Hospital,51,H,General Medicine,350,423
1691,ONG,33,H,General Medicine,600,489
1692,Otro,55,H,Dentist,1000,416
1693,Medico,65,H,Dentist,500,573
1694,Especialista,53,H,Ayurveda,300,516
1695,Clinica,37,H,General Medicine,200,1068
1696,Hospital,69,H,General Medicine,1000,285
1697,ONG,49,H,Dentist,300,285
1698,Otro,33,H,ENT Specialist,300,462
1699,Medico,59,H,ENT Specialist,500,1099
1700,Especialista,42,H,Dentist,300,213
1701,Clinica,45,H,General Medicine,200,1082
1702,Hospital,40,H,General Medicine,1000,10910
1703,ONG,69,H,General Medicine,300,431
1704,Otro,46,H,General Medicine,300,63
1705,Medico,32,H,ENT Specialist,300,569
1706,Especialista,46,H,Dentist,400,300
1707,Clinica,69,H,Dentist,1000,332
1708,Hospital,41,H,ENT Specialist,300,99
1709,ONG,58,H,Dentist,800,502
1710,Otro,54,H,Ayurveda,300,520
1711,Medico,33,H,Homeopath,200,2
1712,Especialista,64,H,Homeopath,250,386
1713,Clinica,51,H,Dermatologists,300,557
1714,Hospital,64,H,Homeopath,700,227
1715,ONG,44,H,ENT Specialist,70,447
1716,Otro,49,H,Ayurveda,300,434
1717,Medico,54,H,ENT Specialist,200,384
1718,Especialista,57,H,General Medicine,500,538
1719,Clinica,64,H,Dentist,200,1079
1720,Hospital,48,H,Ayurveda,200,2
1721,ONG,49,H,Dentist,1000,74
1722,Otro,56,H,Homeopath,200,306
1723,Medico,49,H,Dentist,500,1055
1724,Especialista,52,H,Dermatologists,1000,39
1725,Clinica,45,H,Homeopath,700,598
1726,Hospital,59,H,Dentist,50,548
1727,ONG,33,H,Homeopath,300,499
1728,Otro,46,H,Dermatologists,500,446
1729,Medico,35,H,Dentist,1000,422
1730,Especialista,43,H,Dermatologists,1000,593
1731,Clinica,60,H,Homeopath,500,394
1732,Hospital,50,H,Dermatologists,300,385
1733,ONG,69,H,Dentist,400,1054
1734,Otro,49,H,Dermatologists,250,482
1735,Medico,69,H,Dentist,1000,4910
1736,Especialista,59,H,Dentist,400,431
1737,Clinica,64,H,General Medicine,1000,262
1738,Hospital,47,H,Homeopath,300,318
1739,ONG,42,H,Ayurveda,1000,260
1740,Otro,62,H,Dentist,300,1037
1741,Medico,54,H,ENT Specialist,500,106
1742,Especialista,33,H,Ayurveda,300,103
1743,Clinica,50,H,Dermatologists,1000,92
1744,Hospital,58,H,Dentist,400,1037
1745,ONG,65,H,General Medicine,200,513
1746,Otro,67,H,Dermatologists,250,283
1747,Medico,33,H,General Medicine,400,217
1748,Especialista,67,H,ENT Specialist,650,340
1749,Clinica,39,H,ENT Specialist,200,244
1750,Hospital,48,H,ENT Specialist,400,375
1751,ONG,39,H,General Medicine,300,315
1752,Otro,36,H,Dentist,1000,42
1753,Medico,70,H,General Medicine,300,475
1754,Especialista,56,H,Dermatologists,200,267
1755,Clinica,47,H,Dermatologists,1000,407
1756,Hospital,52,H,General Medicine,500,538
1757,ONG,65,H,Ayurveda,1050,488
1758,Otro,33,H,Dentist,200,1005
1759,Medico,36,H,General Medicine,500,550
1760,Especialista,51,H,Ayurveda,300,577
1761,Clinica,67,H,Dentist,1000,299
1762,Hospital,60,H,Homeopath,200,218
1763,ONG,69,H,General Medicine,300,4110
1764,Otro,51,H,Dentist,500,0
1765,Medico,37,H,Dermatologists,300,330
1766,Especialista,46,H,Ayurveda,500,261
1767,Clinica,42,H,Dermatologists,750,103
1768,Hospital,62,H,Dermatologists,500,4010
1769,ONG,64,H,Ayurveda,700,450
1770,Otro,52,H,Dermatologists,200,0
1771,Medico,61,H,Homeopath,400,498
1772,Especialista,48,H,Dentist,1030,331
1773,Clinica,55,H,Ayurveda,400,213
1774,Hospital,68,H,Homeopath,500,221
1775,ONG,37,H,General Medicine,250,565
1776,Otro,55,H,Dermatologists,200,2910
1777,Medico,66,H,Ayurveda,500,109
1778,Especialista,58,H,General Medicine,500,1068
1779,Clinica,52,H,Ayurveda,1000,38
1780,Hospital,68,H,ENT Specialist,1000,521
1781,ONG,69,H,General Medicine,650,1049
1782,Otro,61,H,General Medicine,500,1069
1783,Medico,50,H,Dentist,500,1044
1784,Especialista,62,H,Dermatologists,300,503
1785,Clinica,54,H,ENT Specialist,300,208
1786,Hospital,50,H,General Medicine,300,222
1787,ONG,36,H,Dentist,500,466
1788,Otro,53,H,Dentist,200,274
1789,Medico,53,H,Ayurveda,200,267
1790,Especialista,41,H,Homeopath,1000,1039
1791,Clinica,43,H,Ayurveda,1000,413
1792,Hospital,57,H,Dentist,600,573
1793,ONG,63,H,General Medicine,1050,1068
1794,Otro,53,H,Dermatologists,200,455
1795,Medico,60,H,Ayurveda,500,283
1796,Especialista,32,H,ENT Specialist,200,506
1797,Clinica,40,H,Dentist,700,525
1798,Hospital,48,H,Dentist,300,430
1799,ONG,47,H,Ayurveda,1050,49
1800,Otro,42,H,Dentist,1000,482
1801,Medico,47,H,Dermatologists,300,370
1802,Especialista,45,H,Dermatologists,400,10104
1803,Clinica,44,H,Homeopath,800,5910
1804,Hospital,48,H,Dentist,1000,4710
1805,ONG,31,H,Dermatologists,200,1031
1806,Otro,61,H,General Medicine,1000,1084
1807,Medico,31,H,Dentist,200,403
1808,Especialista,35,H,Ayurveda,250,494
1809,Clinica,39,H,Dermatologists,500,10105
1810,Hospital,63,H,ENT Specialist,400,444
1811,ONG,58,H,Dentist,200,3
1812,Otro,58,H,ENT Specialist,200,232
1813,Medico,63,H,Dermatologists,200,370
1814,Especialista,70,H,Homeopath,400,363
1815,Clinica,54,H,General Medicine,500,383
1816,Hospital,36,H,Homeopath,230,421
1817,ONG,59,H,General Medicine,1000,1079
1818,Otro,60,H,Homeopath,500,441
1819,Medico,61,H,General Medicine,1050,295
1820,Especialista,51,H,ENT Specialist,400,1021
1821,Clinica,49,H,Dentist,500,77
1822,Hospital,40,H,Homeopath,400,4
1823,ONG,39,H,Homeopath,300,392
1824,Otro,31,H,ENT Specialist,400,410
1825,Medico,59,H,Dentist,200,258
1826,Especialista,32,H,Homeopath,200,710
1827,Clinica,32,H,Dermatologists,1050,465
1828,Hospital,34,H,Dentist,1000,1041
1829,ONG,38,H,Dentist,200,400
1830,Otro,62,H,Dentist,1000,1030
1831,Medico,61,H,General Medicine,400,1095
1832,Especialista,58,H,Dentist,380,375
1833,Clinica,61,H,Dermatologists,200,285
1834,Hospital,32,H,Homeopath,1000,260
1835,ONG,41,H,Homeopath,500,418
1836,Otro,47,H,ENT Specialist,500,419
1837,Medico,62,H,ENT Specialist,400,226
1838,Especialista,67,H,General Medicine,250,1065
1839,Clinica,46,H,General Medicine,1000,207
1840,Hospital,65,H,Homeopath,1000,10106
1841,ONG,69,H,Dentist,50,258
1842,Otro,33,H,General Medicine,600,577
1843,Medico,50,H,Dermatologists,1000,70
1844,Especialista,50,H,Dermatologists,1000,10
1845,Clinica,31,H,Dermatologists,400,1020
1846,Hospital,63,H,Dermatologists,400,9
1847,ONG,62,H,General Medicine,300,449
1848,Otro,68,H,Dentist,700,347
1849,Medico,67,H,Dermatologists,1050,257
1850,Especialista,69,H,ENT Specialist,300,209
1851,Clinica,46,H,Dermatologists,300,26
1852,Hospital,52,H,General Medicine,500,23
1853,ONG,30,H,Dentist,350,347
1854,Otro,38,H,ENT Specialist,200,584
1855,Medico,61,H,Dentist,500,1084
1856,Especialista,33,H,Homeopath,500,255
1857,Clinica,64,H,General Medicine,200,473
1858,Hospital,58,H,Dentist,600,29
1859,ONG,62,H,Ayurveda,1000,206
1860,Otro,53,H,ENT Specialist,50,400
1861,Medico,65,H,General Medicine,1000,1053
1862,Especialista,59,H,Ayurveda,1000,366
1863,Clinica,46,H,Homeopath,300,521
1864,Hospital,32,H,Dentist,1000,104
1865,ONG,44,H,General Medicine,1000,426
1866,Otro,45,H,Dermatologists,1000,1007
1867,Medico,49,H,General Medicine,1000,321
1868,Especialista,57,H,Dermatologists,600,431
1869,Clinica,34,H,Dentist,1000,572
1870,Hospital,63,H,Dermatologists,1000,436
1871,ONG,55,H,ENT Specialist,500,8
1872,Otro,55,H,Homeopath,450,293
1873,Medico,34,H,General Medicine,200,448
1874,Especialista,70,H,General Medicine,300,489
1875,Clinica,52,H,Dentist,700,258
1876,Hospital,69,H,Dermatologists,200,268
1877,ONG,42,H,ENT Specialist,1000,507
1878,Otro,58,H,Ayurveda,400,250
1879,Medico,61,H,Dermatologists,1050,276
1880,Especialista,32,H,Dentist,1000,386
1881,Clinica,36,H,Dermatologists,200,223
1882,Hospital,39,H,General Medicine,1000,1073
1883,ONG,47,H,Dermatologists,300,443
1884,Otro,54,H,ENT Specialist,1000,77
1885,Medico,59,H,General Medicine,1000,102
1886,Especialista,69,H,Dermatologists,1000,1022
1887,Clinica,41,H,General Medicine,1000,460
1888,Hospital,62,H,General Medicine,600,1021
1889,ONG,58,H,Homeopath,200,579
1890,Otro,63,H,Ayurveda,500,502
1891,Medico,34,H,General Medicine,500,22
1892,Especialista,47,H,General Medicine,700,510
1893,Clinica,53,H,Homeopath,700,260
1894,Hospital,53,H,Dentist,300,1061
1895,ONG,35,H,Ayurveda,1000,577
1896,Otro,68,H,Dermatologists,500,10106
1897,Medico,66,H,Dentist,250,560
1898,Especialista,38,H,Dentist,1000,1056
1899,Clinica,41,H,Dentist,1000,2710
1900,Hospital,70,H,Dermatologists,200,341
1901,ONG,44,H,Homeopath,500,251
1902,Otro,34,H,ENT Specialist,500,566
1903,Medico,38,H,Homeopath,700,568
1904,Especialista,52,H,ENT Specialist,500,336
1905,Clinica,46,H,Ayurveda,1000,107
1906,Hospital,57,H,Ayurveda,1050,26
1907,ONG,30,H,Ayurveda,200,483
1908,Otro,63,H,Homeopath,500,10103
1909,Medico,50,H,Dentist,500,306
1910,Especialista,33,H,Ayurveda,1000,1049
1911,Clinica,51,H,ENT Specialist,50,593
1912,Hospital,64,H,General Medicine,600,5
1913,ONG,64,H,Homeopath,400,2010
1914,Otro,64,H,Homeopath,1000,526
1915,Medico,68,H,Ayurveda,1000,24
1916,Especialista,69,H,Ayurveda,500,42
1917,Clinica,58,H,Dermatologists,200,462
1918,Hospital,35,H,Ayurveda,500,454
1919,ONG,57,H,Homeopath,1000,106
1920,Otro,33,H,Dentist,500,258
1921,Medico,54,H,Dentist,200,322
1922,Especialista,34,H,Homeopath,500,10103
1923,Clinica,30,H,Dentist,1000,67
1924,Hospital,42,H,General Medicine,200,377
1925,ONG,33,H,General Medicine,600,202
1926,Otro,53,H,ENT Specialist,250,2
1927,Medico,37,H,Homeopath,400,290
1928,Especialista,64,H,General Medicine,1000,273
1929,Clinica,47,H,Dermatologists,200,387
1930,Hospital,42,H,Dentist,1000,546
1931,ONG,58,H,General Medicine,5,394
1932,Otro,51,H,Ayurveda,800,323
1933,Medico,63,H,Homeopath,50,424
1934,Especialista,36,H,Dermatologists,500,264
1935,Clinica,30,H,Dentist,1000,10104
1936,Hospital,68,H,General Medicine,500,598
1937,ONG,64,H,Dermatologists,600,1075
1938,Otro,57,H,Dentist,500,67
1939,Medico,49,H,Dermatologists,250,285
1940,Especialista,40,H,Dentist,250,245
1941,Clinica,33,H,Dentist,1000,419
1942,Hospital,51,H,Ayurveda,500,1053
1943,ONG,32,H,Dermatologists,1000,1042
1944,Otro,63,H,Homeopath,300,544
1945,Medico,35,H,General Medicine,50,484
1946,Especialista,54,H,Dermatologists,250,3
1947,Clinica,62,H,General Medicine,500,53
1948,Hospital,32,H,Ayurveda,600,60
1949,ONG,48,H,General Medicine,1000,567
1950,Otro,42,H,Dentist,600,242
1951,Medico,30,H,Dentist,800,1079
1952,Especialista,57,H,Dentist,200,559
1953,Clinica,57,H,ENT Specialist,1000,552
1954,Hospital,63,H,General Medicine,400,502
1955,ONG,66,H,Dentist,250,1088
1956,Otro,45,H,Dermatologists,1000,3110
1957,Medico,43,H,Dentist,500,1040
1958,Especialista,38,H,General Medicine,300,483
1959,Clinica,67,H,ENT Specialist,500,28
1960,Hospital,34,H,General Medicine,200,223
1961,ONG,66,H,Dentist,300,412
1962,Otro,52,H,Dermatologists,1000,485
1963,Medico,57,H,Ayurveda,600,98
1964,Especialista,38,H,General Medicine,200,519
1965,Clinica,45,H,ENT Specialist,1000,92
1966,Hospital,38,H,Dermatologists,300,507
1967,ONG,65,H,Dentist,1000,427
1968,Otro,32,H,Ayurveda,1000,547
1969,Medico,61,H,Ayurveda,1000,502
1970,Especialista,59,H,Ayurveda,200,51
1971,Clinica,37,H,ENT Specialist,250,1053
1972,Hospital,39,H,ENT Specialist,600,97
1973,ONG,57,H,Dermatologists,500,495
1974,Otro,32,H,Dentist,600,247
1975,Medico,58,H,Dentist,200,1068
1976,Especialista,40,H,Homeopath,1050,405
1977,Clinica,38,H,Dermatologists,1000,355
1978,Hospital,46,H,ENT Specialist,700,500
1979,ONG,30,H,ENT Specialist,500,102
1980,Otro,40,H,Homeopath,300,94
1981,Medico,57,H,General Medicine,500,66
1982,Especialista,32,H,Ayurveda,400,59
1983,Clinica,47,H,Dermatologists,200,331
1984,Hospital,67,H,Homeopath,1000,204
1985,ONG,64,H,ENT Specialist,1000,462
1986,Otro,65,H,General Medicine,1000,566
1987,Medico,38,H,ENT Specialist,600,558
1988,Especialista,40,H,Homeopath,800,1064
1989,Clinica,64,H,Ayurveda,500,1085
1990,Hospital,41,H,Dermatologists,250,374
1991,ONG,45,H,Homeopath,1000,5010
1992,Otro,32,H,Ayurveda,250,429
1993,Medico,46,H,General Medicine,1050,353
1994,Especialista,40,H,Dentist,1000,452
1995,Clinica,52,H,Homeopath,500,316
1996,Hospital,30,H,Ayurveda,250,528
1997,ONG,53,H,General Medicine,350,380
1998,Otro,37,H,Dentist,300,230
1999,Medico,45,H,Dermatologists,500,235
2000,Especialista,65,H,Dermatologists,1000,46
2001,Clinica,50,H,General Medicine,1000,362
2002,Hospital,51,H,Dermatologists,600,592
2003,ONG,37,H,Homeopath,200,206
2004,Otro,44,H,Homeopath,400,72
2005,Medico,69,H,Ayurveda,1000,304
2006,Especialista,38,H,Dentist,400,505
2007,Clinica,60,H,ENT Specialist,1000,218
2008,Hospital,62,H,General Medicine,1000,517
2009,ONG,58,H,Dentist,800,87
2010,Otro,60,H,General Medicine,500,344
2011,Medico,54,H,Homeopath,500,34
